 tMax          20 nGenes           2 maxMatrix   1.00000000     initialConc   9.99999978E-03   9.99999978E-03
           1 initial   9.99999978E-03 react   1.49999997E-02 degr   2.00000009E-03 FINAL   9.99999978E-03
           2 initial   2.29988731E-02 react   2.79988721E-02 degr   4.59977472E-03 FINAL   2.29988731E-02
           3 initial   4.63906564E-02 react   5.13906553E-02 degr   9.27813165E-03 FINAL   4.63906564E-02
           4 initial   8.84579867E-02 react   9.34579894E-02 degr   1.76915973E-02 FINAL   8.84579867E-02
           5 initial  0.163953230     react  0.168953225     degr   3.27906460E-02 FINAL  0.163953230    
           6 initial  0.298526347     react  0.303526342     degr   5.97052686E-02 FINAL  0.298526347    
           7 initial  0.533357501     react  0.538357496     degr  0.106671505     FINAL  0.533357501    
           8 initial  0.918429673     react  0.923429668     degr  0.183685943     FINAL  0.918429673    
           9 initial   1.46225965     react   1.46725965     degr  0.292451948     FINAL   1.46225965    
          10 initial   2.06886125     react   2.07386136     degr  0.413772255     FINAL   2.06886125    
          11 initial   2.62397981     react   2.62897992     degr  0.524795949     FINAL   2.62397981    
          12 initial   3.08882594     react   3.09382606     degr  0.617765188     FINAL   3.08882594    
          13 initial   3.46695971     react   3.47195983     degr  0.693391979     FINAL   3.46695971    
          14 initial   3.77164054     react   3.77664065     degr  0.754328132     FINAL   3.77164054    
          15 initial   4.01626396     react   4.02126408     degr  0.803252816     FINAL   4.01626396    
          16 initial   4.21236849     react   4.21736860     degr  0.842473686     FINAL   4.21236849    
          17 initial   4.36946058     react   4.37446070     degr  0.873892128     FINAL   4.36946058    
          18 initial   4.49525118     react   4.50025129     degr  0.899050236     FINAL   4.49525118    
          19 initial   4.59595442     react   4.60095453     degr  0.919190884     FINAL   4.59595442    
          20 initial   4.67656183     react   4.68156195     degr  0.935312390     FINAL   4.67656183    
